view_code,view_name,route,min_plan,description
NX05_CLOSING,關帳作業,/dashboard/nx05/closing,LITE,每日/月末關帳，401 報表（F-W03）
NX05_ACCOUNT_CODE,會計科目,/dashboard/nx05/account-code,LITE,費用支出會計科目主檔管理
NX06_DASHBOARD,物流作業首頁,/dashboard/nx06,LITE,物流模組首頁：當日送貨任務/取貨任務/退件任務
NX06_DN,送貨單管理,/dashboard/nx06/dn,LITE,配送/調撥/取貨/退件送貨單管理（L01）
NX06_DN_DRIVER,外務行程（手機）,/dashboard/nx06/driver,LITE,外務人員手機版：當日停靠點任務執行/電子簽收（L01）
NX06_RETURN_PICKUP,退貨取件安排,/dashboard/nx06/return-pickup,LITE,銷退取件方式決定與指派（L04/S-W03）
NX06_INTL_LOGISTICS,國際物流,/dashboard/nx06/international,PLUS,國際出口物流安排與追蹤（L03，PLUS）
NX07_EMPLOYEE,員工主檔,/dashboard/nx07/employee,PRO,員工基本資料/職務/部門管理（H-W04）
NX07_ONBOARDING,入離職作業,/dashboard/nx07/onboarding,PRO,員工入職/調職/離職流程（H-W04）
NX07_SHIFT_TYPE,班別設定,/dashboard/nx07/shift-type,PRO,班別主檔定義（早班/晚班/休假）
NX07_SCHEDULE,排班管理,/dashboard/nx07/schedule,PRO,月排班建立/發布/換班管理（H-W01）
NX07_ATTENDANCE,出勤記錄,/dashboard/nx07/attendance,PRO,員工打卡記錄查看/異常處理/補登審核（H-W01）
NX07_LEAVE_TYPE,假別設定,/dashboard/nx07/leave-type,PRO,假別主檔管理（勞基法假別）
NX07_LEAVE_BALANCE,假別餘額,/dashboard/nx07/leave-balance,PRO,員工各假別剩餘時數查看
NX07_LEAVE_REQUEST,請假申請,/dashboard/nx07/leave-request,PRO,請假申請建立/審核管理（H-W02）
NX07_OT_REQUEST,加班申請,/dashboard/nx07/overtime,PRO,加班申請建立/審核管理（H-W02）
NX07_TRAINING,教育訓練管理,/dashboard/nx07/training,PRO,OST/OJT/外訓/DT 訓練規劃與記錄（H-W06）
NX07_PERFORMANCE,績效考核,/dashboard/nx07/performance,PRO,台式 OKR：目標設定/自評/主管評分（H-W05）
NX07_SALARY_SETTING,薪資設定,/dashboard/nx07/salary-setting,PRO,員工薪資設定（底薪/津貼/加班倍率，H-W03）
NX07_SALARY_COMP,薪資組成設定,/dashboard/nx07/salary-component,PRO,薪資組成項目定義（津貼/獎金/扣項）
NX07_SALARY_RECORD,薪資記錄,/dashboard/nx07/salary-record,PRO,每月薪資計算結果與發放管理（H-W03）
NX07_IP_WHITELIST,打卡 IP 設定,/dashboard/nx07/ip-whitelist,PRO,各倉庫合法打卡 IP 白名單設定
NX08_DASHBOARD,經營分析首頁,/dashboard/nx08,PRO,總經理儀表板：各模組 KPI 概況/HPA 趨勢
NX08_DAILY_REPORT,個人日報表,/dashboard/nx08/daily-report,PRO,每日工作日報填寫/查看/主管回饋（R-W00）
NX08_MONTHLY_REPORT,個人月報表,/dashboard/nx08/monthly-report,PRO,每月 KPI 達成率自評/主管評分（R-W00）
NX08_SALES_ANALYSIS,銷售分析報表,/dashboard/nx08/sales,PRO,HPA 趨勢/業務別/客戶別/料號別分析（R-W02）
NX08_PURCHASE_ANALYSIS,採購分析報表,/dashboard/nx08/purchase,PRO,採購成本/廠商績效/到貨率/瑕疵率分析（R-W03）
NX08_INVENTORY_ANALYSIS,庫存產品分析,/dashboard/nx08/inventory,PRO,BCG 矩陣/週轉率/滯銷分析（R-W04）
NX08_FINANCE_ANALYSIS,財務分析報表,/dashboard/nx08/finance,PRO,毛利率/費用率/現金週轉/AP-AR 分析（R-W06）
NX08_HR_ANALYSIS,人資分析報表,/dashboard/nx08/hr,PRO,KPI 達成率/人才象限/訓練完成率（R-W07）
NX08_PARTNER_ANALYSIS,廠商分析報表,/dashboard/nx08/partner,PRO,Porter 五力供應商議價力/廠商集中度（R-W05）
NX08_BIZ_ANALYSIS,經營分析報表,/dashboard/nx08/biz,PRO,PESTEL/SWOT/TOWS/Ansoff/HPA 整合分析（R-W01）
NX08_SWOT,SWOT/TOWS 記錄,/dashboard/nx08/swot,PRO,季度 SWOT/TOWS 策略分析記錄
NX08_PESTEL,PESTEL 記錄,/dashboard/nx08/pestel,PRO,PESTEL 外部環境分析記錄
NX09_KM,KM 知識庫,/dashboard/nx09/km,PRO,QA 知識庫文章查看/撰寫/搜尋（NX09-W01）
NX09_KM_TAG,知識庫標籤,/dashboard/nx09/km/tags,PRO,知識庫分類標籤管理
NX09_DOCUMENT,文件庫,/dashboard/nx09/document,PRO,公司制度/SOP/工作說明書查看與上傳（NX09-W02）
NX09_MEETING,會議管理,/dashboard/nx09/meeting,PRO,會議預約/出席確認/紀錄管理（NX09-W03）
NX09_MEETING_ACTION,會議追蹤事項,/dashboard/nx09/meeting/actions,PRO,個人會議決議待辦追蹤
