料號	品名
020 311 206 *	軸承-輸出軸
020 311 295A	同步齒輪-2/3擋銅齒
020 409 289B /	油封-內半軸小
020 498 085G +	油封-差速器
020 911 023AV	起動馬達
020 911 023F -	起動馬達
020 911 023F /	起動馬達
020 911 023F ~	起動馬達
020 911 023N *	起動馬達
020 911 023N -	起動馬達
020 911 023N /	起動馬達
020 911 023NV	起動馬達
020 941 521A *	倒車燈開關
020 945 415A ~	倒車燈開關
021 101 417A -	汽門導管-排汽
021 103 383N /	汽缸床
021 103 483B -	汽門蓋墊片
021 103 609B -	油底殼墊片-引擎
021 103 609B /	油底殼墊片-引擎
021 109 465	正時鍊條-曲軸
021 109 465B	正時鍊條-曲軸
021 109 503D	正時鍊條-凸輪軸
021 109 507B -	正時鍊條壓板調整螺絲
021 109 509C	正時鍊條壓板-調整-凸輪軸
021 109 509E -	正時鍊條壓板-調整-凸輪軸
021 109 570A	正時齒輪
021 109 601H /	汽門-進
021 115 103	機油泵
021 115 103C	機油泵
021 115 433B	機油芯蓋
021 115 434	機油芯螺絲
021 115 562 -	機油芯
021 115 562 /	機油芯
021 115 562A .	機油芯
021 115 562A /	機油芯
021 117 070	O型環-機油冷卻器
021 117 070A	O型環-機油冷卻器
021 121 004X	水泵
021 121 031A	皮帶盤-水泵
021 121 117A +	水管接頭
021 121 117A -	水管接頭
021 121 117B	水管接頭
021 121 121A -	節溫器蓋
021 121 121D	節溫器蓋
021 121 133D -	水管接頭
021 129 620 *	空氣芯
021 129 620 +	空氣芯
021 133 064	節流閥總成
021 133 064A /	節流閥總成
021 133 227H -	進氣管墊片
021 145 299A ZZ	皮帶張力減震器/缺惰輪
021 145 299B	皮帶張力減震器
021 145 299C *	皮帶張力減震器
021 198 011A -	引擎下修包
021 198 011A /	引擎下修包
021 198 012A -	引擎上修包
021 198 012A /	引擎上修包
021 198 032 -	壓板總成
021 198 155	活塞環
021 198 491A *	大波司組
021 253 039C /	排氣管墊片
021 253 050 /	排氣管墊片
021 903 025B *	發電機
021 903 025C	發電機
021 903 025C /	發電機-150A
021 903 803B -	發電機碳刷
021 905 106 +	發火線圈
021 905 106 -	發火線圈
021 905 106 -ZZ	發火線圈-瑕疵
021 905 265AN *	含氧感知器-前
021 905 377 -	爆震感知器
021 905 377C -	爆震感知器
021 906 031A *	噴油嘴
021 906 262B *	含氧感知器
021 906 265A *	含氧感知器
021 906 265AN	含氧感知器-前
021 906 265M	含氧感知器
021 906 265R -	含氧感知器
021 906 433A *	曲軸感知器
021 906 433A -	曲軸感知器
021 906 433A /	曲軸感知器
021 906 462 *	空氣流量計
021 906 462A *	空氣流量計
021 906 462AX	空氣流量計
021 998 031 /	高壓線組
022 103 151	油封座蓋板-曲軸前
022 103 151D /	油封座蓋板-曲軸前
022 103 153	油封座蓋板-曲軸前
022 103 383F /	汽缸床
022 103 483E /	汽門蓋墊片
022 103 601L	油底殼-引擎
022 105 266AB	飛輪
022 109 088L	凸輪軸鍊條調整器-排
022 109 423	油壓頂筒
022 109 423A -	油壓頂筒
022 109 423D -	油壓頂筒
022 109 611L	汽門-排
022 109 611M	汽門-排
022 121 011A	水泵
022 121 011X	水泵
022 129 684 ZZ	進氣管-瑕疵
022 133 237A +	進汽歧管墊片
022 141 015R -	壓板總成
022 141 015RX	壓板總成
022 145 276C	惰輪-綜合皮帶
022 145 276F -	惰輪-綜合皮帶
022 145 299	皮帶張力減震器
022 145 299E *	皮帶張力減震器/惰輪
022 145 933G	皮帶-綜合
022 145 933T	皮帶-綜合
022 198 012 /	引擎上修包
022 198 171	曲軸油封-後
022 903 119C *	發電機皮帶盤
022 903 119C -	發電機皮帶盤
022 905 100A	發火線圈
022 905 100E	發火線圈
022 905 100N	發火線圈
022 905 100P	發火線圈
022 905 100S	發火線圈
022 905 377 -	爆震感知器
022 905 715	發火線圈
022 905 715A	發火線圈
022 905 715B	發火線圈
022 905 715B +	發火線圈
022 906 262AF	含氧感知器-後-左
022 906 262BB	含氧感知器-前
022 906 262BQ *	含氧感知器-後/R
022 906 262BR -	含氧感知器-後-右
022 906 262L	含氧感知器-後
022 906 262S *	含氧感知器
022 957 147 *	曲軸感知器
022 957 147A /	曲軸感知器
023 103 383B -	汽缸床
023 103 383B /	汽缸床
023 107 065A /5	活塞組
023 109 243 -	正時惰輪
023 121 004 -	水泵
023 198 012 -	引擎上修包
023 198 012 /	引擎上修包
023 198 031K	壓板總成
023 253 115A -	排氣管墊片
023 253 115A /	排氣管墊片
023 903 137A -	皮帶-方向泵
023 905 205B *	分電盤總成
023 905 205E *	分電盤總成
023 905 205E /	分電盤總成
023 905 205EX *	分電盤總成
023 905 237AX	分電盤總成
023 905 237BX	分電盤總成
023 905 237X	分電盤總成
023 906 265C	含氧感知器
023 906 461 -	空氣流量計
023 906 461 /	空氣流量計
023 906 461X	空氣流量計
025 101 143 *	汽缸蓋螺絲-長
025 101 143A *	汽缸蓋螺絲-中
025 101 143B *	汽缸蓋螺絲-短
025 101 355C -	汽缸蓋
025 109 601C -	汽門-進
025 109 601C /	汽門-進
025 109 612A -	汽門-排
025 109 612A /	汽門-排
025 121 010A *	水泵總成
025 121 010AX	水泵總成
025 121 010BX	水泵總成
025 121 010CX	水泵總成
025 121 010CX +	水泵總成
025 121 010D	水泵總成
025 121 010D *	水泵總成
025 121 010F *	水泵總成
025 121 010F +	水泵總成
025 121 010F /	水泵總成
025 121 058D *	水管-機油冷卻器
025 121 058G *	水管-機油冷卻器
025 121 058M +	水管-左汽缸蓋
025 121 113F *	節溫器
025 121 113F -	節溫器
025 121 113F /	節溫器
025 121 142	卡環-溫度開關
025 121 321B /	水箱蓋-後副水筒
025 121 403B +	副水筒-後
025 127 025A	汽油泵-化油器
025 129 620A *	空氣芯
025 131 701A	觸煤轉換器
025 131 701AX *	觸煤轉換器
025 198 000	引擎大修件-缸套+活塞
025 198 000 *1	引擎大修件
025 198 009B -	引擎大修包
025 198 009B /	引擎大修包
025 198 031D	壓板總成
025 198 031D -	壓板總成
025 198 075C *	引擎大修件-缸套+活塞
025 198 075C * 4	引擎大修件-缸套+活塞
025 198 151A -	活塞環
025 198 151AS +	活塞環組
025 251 053M -	消音器-尾段
025 251 185C /	排氣管-尾段
025 260 849B -	皮帶-冷氣
025 903 137G *	皮帶-發電機
025 903 137G -	皮帶-發電機
025 905 205AG *	分電盤總成
025 906 022DX	引擎電腦
025 906 041A -	水溫開關-引擎電腦
025 906 041A /	水溫開關-引擎電腦
025 906 041A ~	水溫開關-引擎電腦
025 906 265B /	含氧感知器
025 906 301C *	空氣流量計
025 998 031 /	高壓線組
026 103 085D /	油封-三軸-正
026 103 085F	油封-三軸
026 103 085F -	油封-三軸
026 103 181B -	墊片-後曲軸蓋板
026 103 383P #	汽缸床
026 103 383P -	汽缸床
026 103 383P /	汽缸床
026 103 485A	機油蓋
026 105 101R	曲軸
026 107 065R	活塞
026 107 065R *	活塞-加大0.5
026 107 081R -4	活塞組-加大0.5
026 109 119B	正時皮帶
026 109 119C	正時皮帶
026 109 175B *	時規護蓋-下
026 109 175B /	時規護蓋-下
026 109 243	正時惰輪-小孔
026 109 243E .	正時惰輪
026 109 243L *	正時惰輪
026 115 561 3 /	機油芯
026 121 005F	水泵
026 121 005F +	水泵
026 121 005F -	水泵
026 121 005F /	水泵
026 121 005H	水泵
026 121 005H *	水泵
026 121 005H +	水泵
026 121 005H -	水泵
026 121 005H /	水泵
026 121 005K *	水泵
026 121 005K |	水泵
026 121 005L	水泵
026 121 005N	水泵
026 121 010CX	水泵總成
026 121 041M	水泵墊片
026 121 041M -	水泵墊片
026 121 041P -	水泵墊片
026 121 053G *	水管-水泵>引擎
026 121 053G +	水管-水泵>引擎
026 121 063M *	水管-水泵>鐵管
026 121 063N *	水管-水泵>鐵管
026 121 144A	水管接頭-側
026 121 144A *	水管接頭-側
026 121 144B	水管接頭-側
026 121 144B *	水管接頭-側
026 129 717D	進氣管墊片
026 133 471 *	空氣流量板
026 133 482	差壓閥
026 145 155B	方向機泵
026 145 155BX	方向機泵
026 145 271 *	皮帶-方向機
026 145 271 -	皮帶-方向機
026 198 012S -	引擎上修包
026 198 025A *	汽門蓋墊片
026 198 025C -	汽門蓋墊片
026 198 025C /	汽門蓋墊片
026 198 032RX	壓板總成
026 198 421 -	波司邊組
026 260 849A *	皮帶-冷氣
026 260 849A -	皮帶-冷氣
026 905 205AC	分電盤總成
026 905 205AC -	分電盤總成
026 905 205AH	分電盤總成
026 905 205AK	分電盤總成
026 905 207A -	分電盤蓋
026 905 207A /	分電盤蓋
026 905 225K *	分火頭
026 906 161 *	水溫開關-冷車
026 906 161 12	水溫開關-冷車
026 906 247 *	怠速馬達
026 906 283H	電磁閥-暖氣切換
026 911 023 *	起動馬達
026 911 023E *	起動馬達
026 911 023X	起動馬達
026 998 031 --	高壓線組
027 103 771D	墊片-曲軸通風
027 109 119C #	正時皮帶
027 109 119C +	正時皮帶
027 109 601C *	汽門-進
027 109 611B /	汽門-排
027 109 675 -	汽門油封
027 109 675 /	汽門油封
027 115 105B +	機油泵
027 115 105C *	機油泵
027 115 105E +	機油泵
027 115 105E -	機油泵
027 121 065D *	鐵水管
027 121 133E -	上水管接頭
027 121 145B -	水管接頭-側
027 121 447A	水管-鐵管>惻水管接頭
027 121 447A *	水管-鐵管>惻水管接頭
027 129 243	暖車閥
027 129 243 /	暖車閥
027 129 717E -	進氣管墊片
027 133 784C	通氣管接頭
027 133 843A *	空氣芯
027 141 025TX	壓板
027 141 033F	離合器片
027 141 033S *	離合器片
027 141 033S -	離合器片
027 141 033SX	離合器片
027 141 033T *	離合器片
027 145 157 -	方向機泵
027 145 157B	方向機泵
027 198 012K -	引擎上修包
027 198 012L -	引擎上修包
027 198 012L /	引擎上修包
027 198 025 -	汽門蓋墊片
027 198 026C -	壓板總成
027 198 033S	壓板總成
027 198 033S -	壓板總成
027 198 033T	壓板總成
027 198 033T -	壓板總成
027 903 137 *	皮帶-發電機
027 903 137 +	皮帶-發電機
027 903 137 -	皮帶-發電機
027 905 207 *	分電盤蓋
027 905 207A #	分電盤蓋
027 905 207A *	分電盤蓋
027 911 023 *	起動馬達
027 911 023X *	起動馬達
028 103 171B #	油封座-曲軸後
028 103 171B -	油封座-曲軸後
028 103 171B /	油封座-曲軸後
028 103 536	墊圈
028 107 065  /5	活塞組
028 107 081 /5	活塞組-加大20
028 115 441C /	機油芯座墊片
028 117 021B	機油冷卻器
028 117 021B .	機油冷卻器
028 117 021D	機油冷卻器
028 117 021K	機油冷卻器
028 117 021L .	機油冷卻器
028 121 065E	鐵水管
028 129 589B -	排氣管墊片
028 129 589B /	排氣管墊片
028 129 646	空氣流量計墊圈
028 129 717D /	進氣管墊片
028 145 157D	方向機泵
028 145 157D *	方向機泵
028 145 157D -	方向機泵
028 145 157D /	方向機泵
028 145 157F	方向機泵
028 145 157F -	方向機泵
028 145 157FV	方向機泵
028 145 157FX	方向機泵
028 198 034N	壓板總成
028 198 034N -	壓板總成
028 198 034N /	壓板總成
028 903 018AV	發電機
028 903 018X	發電機
028 903 025R	發電機
028 903 025R -	發電機
028 903 026G	發電機
028 903 803D *	發電機碳刷
028 903 803D /	發電機碳刷
028 906 081 -	進氣溫度感知器
028 906 283N	電磁閥-暖氣切換
028 919 081D	機油壓力開關-藍
02A 141 165A	釋放軸承-離合器
02A 141 165G *	釋放軸承-離合器
02A 141 165G -	釋放軸承-離合器
02A 141 180	釋放軸承座
02A 141 180A *	釋放軸承座
02A 141 777	頂座-離合器撥叉
02A 301 189 /	油封-差速器
02A 301 215A	變速箱外蓋墊片-手排
02A 301 227L	油封-排擋拉桿
02A 301 227M +	油封-排擋拉桿
02A 311 531G	倒擋齒輪
02A 911 023E -	起動馬達
02A 911 023EV	起動馬達
02A 911 023H *	起動馬達
02A 911 023HX	起動馬達
02A 911 023L /	起動馬達
02A 911 023LX	起動馬達
02B 300 044R	變速箱總成-手排
02B 911 023F /	起動馬達
02B 911 023L /	起動馬達
02D 409 399 /	油封-差速器
02D 525 596B	油封-後差速器
02D 525 596B /	油封-後差速器
02D 525 596C	油封-後差速器
02E 300 042SX 00F  XX	變速箱總成-DSG-舊品
02E 300 043QX 016	變速箱總成-DSG
02E 305 047A	變速箱油芯外蓋
02E 305 051B	變速箱油芯
02E 315 141A	變速箱側蓋-油泵
02E 325 201C	變速箱閥體外蓋板
02E 325 201D ZZ	油底殼-變速箱-瑕疵
02E 398 029A	扭力轉換器修理包
02E 398 029A ZZ	離合器片組-受損
02E 398 051	變速箱油芯
02E 911 023H *	起動馬達
02E 911 023H /	起動馬達
02E 911 023JX	起動馬達
02E 911 023LX	起動馬達
02E 927 321A	速度感知器-變速箱
02E 927 321A *	速度感知器-變速箱
02G 409 335A *	傳動軸固定軸承-右內接桿
02J 141 719	離合器撥叉
02J 141 719B /	離合器撥叉
02J 311 241D	同步器齒輪-5擋
02J 409 189A	油封-差速器
02J 409 528A	油封-差速器
02K 945 415G	倒車燈開關
02M 141 671B	離合器分泵/軸承
02M 301 189B	油封-差速器
02M 301 189B +	油封-差速器
02M 301 189B /	油封-差速器
02M 311 113	油封-變速箱輸入軸
02M 911 023G *	起動馬達
02M 911 023G /	起動馬達
02M 911 023M -	起動馬達
02M 911 023QX	起動馬達
02Q 409 189	油封-差速器
02T 141 153B	釋放軸承/撥叉組
02T 141 170C	釋放軸承組
02T 311 251AA	齒輪-1擋
02T 409 189C	油封-差速器
02T 945 415	倒車燈開關
02Z 311 235A	滾珠軸承  30*71*21
02Z 911 023N *	起動馬達
02Z 911 023NX	起動馬達
030 103 171F	油封座-曲軸後
030 103 171H *	油封座-曲軸後
030 103 171K *	油封座-曲軸後
030 103 175B /	單向閥
030 103 383K -	汽缸床
030 103 483K	汽門蓋墊片
030 103 483K -	汽門蓋墊片
030 103 483K /	汽門蓋墊片
030 103 485M	機油蓋
030 103 493F	廢氣循環管
030 109 119A	正時皮帶
030 109 119M *	正時皮帶
030 109 243J	正時惰輪
030 109 243K *	正時惰輪
030 109 423S *	汽門頂筒+搖臂
030 115 561AB	機油芯
030 115 561AB *	機油芯
030 115 561AB +	機油芯
030 115 561AB .	機油芯
030 115 561AN /	機油芯
030 115 561E *	機油芯
030 121 005N	水泵
030 121 005N +	水泵
030 121 005N -	水泵
030 121 005N /	水泵
030 121 008D /	水泵
030 121 008DX	水泵
030 121 117D	水管接頭
030 121 119	節溫器墊圈
030 127 025	汽油泵-化油器
030 133 064D *	節流閥總成
030 133 064D /	節流閥總成
030 141 025F -	壓板
030 145 278 -	惰輪-綜合皮帶
030 145 299C	皮帶張力減震器
030 145 299C -	皮帶張力減震器
030 145 299C /	皮帶張力減震器
030 145 299F  SIN	惰輪-外皮帶
030 145 299F #	皮帶張力減震器/惰輪
030 145 299F -	皮帶張力減震器
030 145 299F ~	皮帶張力減震器
030 198 012A -	引擎上修包
030 198 717 /	進氣管墊片
030 903 023J	發電機
030 903 023J *	發電機-90A
030 905 205AB X	分電盤總成
030 905 207A /	分電盤蓋
030 905 237GX	分電盤總成
030 905 377 *	爆震感知器
030 905 377C	爆震感知器
030 906 051A *	進氣壓力感知器
030 906 265	含氧感知器
030 906 265 *	含氧感知器
030 906 265 -	含氧感知器
030 906 265AA *	含氧感知器
030 906 265AA -	含氧感知器
030 906 265AE	含氧感知器
030 906 265AN -	含氧感知器
030 906 265AP	含氧感知器
030 906 265AP *	含氧感知器
030 906 265BH -	含氧感知器
030 906 265G	含氧感知器
030 906 265G -	含氧感知器
030 906 265K *	含氧感知器
030 907 601E /	霍耳感知器
030 919 081B	機油壓力開關-綠
030 919 081C *	機油壓力開關-綠
030 957 147B *	曲軸感知器
030 957 147H	曲軸感知器
030 957 147T /	曲軸感知器
032 103 601RA	油底殼-引擎
032 105 705H -8	小波司組-加大0.5/20
032 109 119 #	正時皮帶
032 109 119G -	正時皮帶
032 109 601E -	汽門-進
032 109 601E /	汽門-進
032 109 611G -	汽門-排
032 121 065B	水管-泵>接頭-朔鋼
032 121 065D +	水管-泵>接頭-朔鋼
032 121 065E	水管-泵>接頭-朔鋼
032 121 110B -	節溫器
032 121 111AF	節溫器座總成
032 121 111AP +	節溫器座總成
032 121 111BG	節溫器座總成
032 121 111N +	節溫器座總成
032 121 119B	節溫器墊圈
032 121 119J /	節溫器墊圈
032 121 121B	節溫器蓋
032 121 121J -	節溫器蓋
032 121 665A	O型環
032 129 620 *	空氣芯
032 129 620 /	空氣芯
032 145 157A	方向機泵
032 145 167B	方向機泵固定架
032 145 933S	皮帶-綜合
032 145 933S -	皮帶-綜合
032 145 933S /	皮帶-綜合
032 198 012B /	引擎上修包
032 198 032A	壓板總成
032 198 032A -	壓板總成
032 198 119 +	正時皮帶組-含惰輪
032 198 119 -	正時皮帶組-含惰輪
032 198 141  X-	壓板總成
032 198 141 *	壓板總成
032 905 106 B	發火線圈
032 905 106B	發火線圈
032 905 106B *	發火線圈
032 905 106B -	發火線圈
032 905 106B .	發火線圈
032 905 106B /	發火線圈
032 905 106B ~	發火線圈
032 905 106BZ	發火線圈
032 905 106E /	發火線圈
032 906 265 *	含氧感知器
032 906 265 -	含氧感知器
032 906 265D	含氧感知器
032 906 265D *	含氧感知器
032 906 265F *	含氧感知器
032 906 433	曲軸感知器
0330402	活塞組-加大20
034 105 701 /10	小波司組
034 105 701 /8	小波司組
034 109 119 -	正時皮帶
034 115 561A	機油芯
034 117 127 -	水管-ATF鐵管>冷卻器
034 121 004A -	水泵
034 121 063C *	水管-水泵>鐵管
034 121 137	接管
034 129 101A	壓力閥
034 129 717F -	進氣管墊片
034 133 455	怠速閥
034 133 455B *	怠速閥
034 133 481E	分油盤
034 133 482 *	差壓閥
034 133 517	碳罐電磁閥
034 145 159L	方向機泵
034 145 710A	通氣閥-渦輪增壓
034 198 012L *	引擎上修包
034 198 012L /	引擎上修包
034 198 025C	汽門蓋墊片
034 198 025C /	汽門蓋墊片
034 198 032H -	壓板總成
034 198 491A -	大波司組
034 198 701 -	小波司組
034 260 805D	壓縮機總成
034 260 805D *	壓縮機總成
034 260 849 *	皮帶-冷氣
034 260 849 -	皮帶-冷氣
034 903 016H *	發電機
034 903 137A *	皮帶-發電機
034 905 205H	分電盤總成
034 905 205H -	分電盤總成
034 905 205HX *	分電盤總成
034 905 207B *	分電盤蓋
034 906 161 *	水溫開關-引擎電腦
034 906 163	水溫開關-冷車
034 906 163 *	水溫開關-冷車
034 906 265C	含氧感知器
034 906 265C *	含氧感知器
034 906 265C -	含氧感知器
034 906 265C /	含氧感知器
034 906 265F	含氧感知器
034 906 265F -	含氧感知器
034 911 023  /	起動馬達
034 911 023 -	起動馬達
034 911 023X *	起動馬達
034 919 369C -	水溫開關-溫度錶
034 919 369C .	水溫感知器-溫度錶
034 998 031 -	高壓線組
035 109 601K -	汽門-進
035 121 004A *	水泵
035 121 004A /	水泵
035 121 043 -	水泵墊片
035 121 447E *	水管-水管座>ATF鐵管
035 133 455F	怠速閥
035 133 989A	進氣管接頭
035 145 271F -	皮帶-方向機
035 906 149A	噴油嘴O型環-上下
035 919 369M *	水溫開關
035 919 369M -	水溫開關
035 919 561 *	機油壓力開關
035 919 561 -	機油壓力開關
035 919 561 /	機油壓力開關
036 103 085A /	油封-凸輪軸
036 103 111	側蓋-汽門室蓋
036 103 171B /	油封座-曲軸後
036 103 383AL *	汽缸床
036 103 383AL -	汽缸床
036 103 383AL /	汽缸床
036 103 383AM	汽缸床
036 103 383AN /	汽缸床
036 103 383Q	汽缸床
036 103 383Q *	汽缸床
036 103 464AH XX	廢氣循環筒
036 103 474L	廢氣循環管
036 103 493BN	廢氣循環管
036 103 493N	廢氣循環管
036 107 065AT -4	活塞組
036 109 111F	正時齒輪
036 109 119M	正時皮帶
036 109 119P /	正時皮帶-凸輪軸
036 109 119Q	正時皮帶
036 109 121H	正時皮帶護蓋-上
036 109 127H	正時皮帶護蓋-下
036 109 181A	正時惰輪調整器
036 109 181A -	正時惰輪調整器
036 109 181A /	正時惰輪調整器
036 109 243AB	正時惰輪-調整
036 109 243AB *	正時惰輪-調整
036 109 243AD	正時惰輪-調整
036 109 243AE	正時惰輪-凸輪軸皮帶
036 109 243AE *	正時惰輪-凸輪軸皮帶
036 109 243E	正時惰輪-調整
036 109 243F	正時惰輪-凸輪軸皮帶
036 109 243S	正時惰輪-凸輪軸皮帶
036 109 243S -	正時惰輪-凸輪軸皮帶
036 109 244C	正時惰輪-固定
036 109 244D	正時惰輪-固定
036 109 601S -	汽門-進
036 109 601S /	汽門-進
036 109 675 *	汽門油封
036 109 675 -	汽門油封
036 109 675 /	汽門油封
036 109 675A /	汽門油封
036 115 105B	機油泵
036 115 105D -	機油泵
036 115 105D XX	機油泵
036 115 251H	機油泵導管
036 115 302G	機油蓋座
036 121 005E *	水泵
036 121 005E /	水泵
036 121 005EV	水泵
036 121 005P	水泵
036 121 005P /	水泵
036 121 005S	水泵
036 121 005SX	水泵
036 121 008G /	水泵
036 121 008GX	水泵
036 121 008L	水泵
036 121 008L /	水泵
036 121 008LX	水泵
036 121 008MX	水泵
036 129 607CQ	空氣芯總成
036 129 620C	空氣芯
036 129 620C *	空氣芯
036 129 620C +	空氣芯
036 129 620C -	空氣芯
036 129 620C /	空氣芯
036 129 620D .	空氣芯
036 129 620F -	空氣芯
036 129 620F /	空氣芯
036 129 620H -	空氣芯
036 129 620H /	空氣芯
036 129 717E -	進氣管墊片
036 129 717E /	進氣管墊片
036 129 846	固定座-空氣芯總成
036 133 062N	節流閥總成
036 133 064D *	節流閥總成
036 133 321A	汽油管-進/出
036 133 723AA	汽油管-進油
036 145 933AC /	皮帶-綜合
036 145 933AJ	皮帶-綜合
036 145 933G /	皮帶-綜合
036 145 933Q	皮帶-綜合
036 198 012 *	引擎上修包
036 198 119A	正時皮帶組-含惰輪
036 198 119C +	正時皮帶組-含惰輪
036 198 119C -	正時皮帶組-含惰輪
036 198 119E +	正時皮帶組-含惰輪
036 198 119E -	正時皮帶組-含惰輪
036 198 151KS +4	活塞環組-一台份
036 198 620 .	空氣芯
036 198 620 /	空氣芯
036 903 024D *	發電機
036 903 028A *	發電機
036 903 028A -	發電機
036 905 100B	發火線圈
036 905 100B *	發火線圈
036 905 715A	發火線圈
036 905 715C	發火線圈
036 905 715E	發火線圈
036 905 715F	發火線圈
036 905 715F -	發火線圈
036 905 715F /	發火線圈
036 905 715G	發火線圈
036 905 715G +	發火線圈
036 905 715G ~	發火線圈
036 906 031G -	噴油嘴
036 906 262A	含氧感知器-前
036 907 601	霍耳感知器
036 919 081A	機油壓力開關-綠
036 919 081A *	機油壓力開關-綠
036 919 081B ~	機油壓力開關-綠
036 919 081C	機油壓力開關-綠
036 919 081D *	機油壓力開關-綠
037 103 493D *	廢氣循環管
037 103 493P /	廢氣循環管
037 107 065B *	活塞組
037 107 081A -4	活塞組-加大0.5
037 115 105	機油泵
037 115 220B #	油底殼墊片-引擎
037 115 220B -	油底殼墊片-引擎
037 115 220B /	油底殼墊片-引擎
037 121 005C	水泵
037 121 005C .	水泵
037 121 005C /	水泵
037 121 005C >	水泵
037 121 005C ~	水泵
037 121 010A	水泵總成
037 121 010A #	水泵總成
037 121 010A +	水泵總成
037 121 010A /	水泵總成
037 121 010A ~	水泵總成
037 121 010BX	水泵總成
037 121 010CX	水泵總成
037 121 036 *	水管-水泵>接頭>機油冷卻器
037 121 053B /	水管-水泵>水管接頭
037 121 053H *	水管-水泵>水管接頭
037 121 058A *	水管-機油冷卻器>鐵管
037 121 058A +	水管-機油冷卻器>鐵管
037 121 065L *	鐵水管
037 121 121A -	節溫器蓋
037 121 132B *	水管接頭
037 121 132B -	水管接頭
037 121 133C *	水管接頭
037 121 133C -	水管接頭
037 121 133E	水管接頭-單開關孔
037 122 058 *	水管-水泵>鐵管>機油冷卻器
037 122 058 +	水管-水泵>鐵管>機油冷卻器
037 129 644	廢氣管接頭
037 133 064 -	節流閥總成
037 133 064A	節流閥總成
037 133 406A-	橡皮墊圈-怠速閥
037 145 157B	方向機泵
037 145 157D	方向機泵
037 145 157DX	方向機泵
