料號	品名
059 903 133AE	皮帶張力減震器/惰輪
059 903 133BB	皮帶張力減震器/惰輪
059 906 088A +	排氣溫度感知器-渦輪增壓器
059 906 088A /	排氣溫度感知器-渦輪增壓器
059 906 088K /	排氣溫度感知器-渦輪增壓器
059 906 433J	曲軸感知器
059 919 081E	機油壓力開關
059 963 319AB	預熱塞
05E 103 469G	汽門室蓋-含凸輪軸
05E 103 495AH	油氣分離器
05E 121 111K	節溫器座總成含水泵
05E 133 366AN	通氣管
05E 903 305F	皮帶張力減震器/惰輪
05E 905 110	發火線圈
05L 121 011D	水泵
066 109 514	正時鍊條壓板
068 117 021B /	機油冷卻器
06A 115 441J -	機油芯座墊片-鋁
06A 129 101D /	壓力閥
06A 905 097A -	發火線圈
06A 906 461B /	空氣流量計
06A 906 461BX	空氣流量計
06A 919 501A	水溫感知器
06B 121 058S	水管-機油冷卻器>鐵管
06B 145 735A	渦輪增壓器油管
06B 903 016AB * XX	發電機-140A-中古
06D 103 469N /	汽門室蓋-含墊片
06D 109 309C	頂筒-高壓泵
06D 109 309C -	頂筒-高壓泵
06D 115 397K	機油芯座
06D 131 550D /	墊片-廢氣管
06E 103 471P +	汽門室蓋-4-6
06E 103 472N +	汽門室蓋-1-3
06E 109 257P	調整器
06E 109 465AS *	正時鍊條-右
06E 109 623E	汽門彈簧-進
06E 115 405H	機油芯座
06E 115 405K /	機油芯座
06E 115 562B	機油芯
06E 115 562H /	機油芯
06E 115 611E /	機油尺
06E 121 018A /	水泵
06E 121 018E	水泵
06E 121 065Q	水管-塑鋼
06E 121 119D	O型環-水管
06E 903 016K *	發電機-180A
06E 903 016M *	發電機-180A
06E 905 115F	發火線圈
06E 905 377H	爆震感知器
06F 109 088J /	凸輪軸鍊條調整器
06F 129 101R S2 -	壓力閥-修理包組
06H 103 269H ~	汽缸蓋前蓋板
06H 105 243K -	皮帶盤-曲軸
06H 121 026CQ /	水泵總成
06H 121 026DD #	水泵總成-鋁體-不代開關
06H 121 026DR	水泵總成
06H 906 036AB	噴油嘴
06H 906 036F	噴油嘴
06H 906 051G	汽油壓力感知器
06H 906 517T	電磁閥
06J 117 021Q -	機油冷卻器-附墊片
06J 121 026G	水泵總成
06J 121 065F ZZ	水管-朔鋼-瑕疵
06J 121 119	節溫器墊圈
06J 127 025J -	汽油泵-高壓
06J 145 100G -	真空輔助泵
06J 906 051C	汽油壓力感知器
06J 906 461B *	空氣流量計
06K 103 085P	油封
06K 103 213J	廢氣循環管
06K 103 269F ~	汽缸蓋前蓋板
06K 103 495AF ~	油氣分離器
06K 115 611B	機油尺
06K 121 075BF	鐵水管
06K 121 605C *	皮帶-水泵
06K 133 986EB	汽油管
06K 145 100AB	真空輔助泵
06K 145 100AE	真空輔助泵
06K 906 051A	壓力感知器-汽油
06K 907 386D  XX	轉角感知器-中古
06L 103 144H	汽缸蓋前蓋板
06L 103 144H -S1	汽缸蓋前蓋板修理包
06L 117 021E /	機油冷卻器
06L 121 111M	節溫器座總成
06L 121 111P  ZZ	節溫器座總成-瑕疵
06L 121 111P .	節溫器座總成
06L 121 139	節溫器墊片
06L 145 722L	渦輪增壓器
06L 903 133D *	皮帶張力減震器/惰輪
06L 903 137L	皮帶-綜合
06L 907 660	油位感知器-機油
06M 103 515H	油氣分離器
06M 109 257T	調整器
06M 115 401L	機油芯總成
06M 121 013D	水泵
06M 121 013D /	水泵
06M 121 115K	節溫器-含蓋
06M 121 115N	節溫器-含蓋
06M 907 660A	油位感知器-機油
06Q 103 495B	油氣分離器
06Q 103 495C	油氣分離器
06Q 117 021E	機油冷卻器
070 903 139B - ZZ	發電機-180A
071 115 562C	機油芯
078 103 113E *	汽缸頭側蓋
078 103 245E /	廢氣閥
078 121 058AN /	水管-機油冷卻器>水管
078 905 104A *	發火線圈
078 905 104A +	發火線圈
079 906 283B	電磁閥
079 907 660A	油位感知器-機油
07K 906 031L	噴油嘴
07L 103 051E	曲軸油封-前
07L 903 389B	惰輪-綜合皮帶
07L 905 163C -	霍耳感知器
07L 905 163C ~	霍耳感知器
085 311 113 -	油封-變速箱輸入軸
09E 325 443AS	變速箱濾網墊片組
09G 301 189 -	油封-差速器
09G 409 061 *	冷卻器-ATF
09G 409 061 /	冷卻器-ATF
0A5 141 671P	離合器分泵/軸承
0B6 325 429 S1 +	變速箱濾網+墊片
0BH 317 019 /	冷卻器-ATF
0C8 325 435 S1 -	變速箱濾網組-含墊片
0CK 321 359M	油底殼-變速箱
0GC 301 205B	前離合器外蓋板
0GC 325 183A	變速箱油芯
0GC 325 201H	油底殼-變速箱含墊片
0GC 325 201J	油底殼-變速箱含墊片
0P2 121 115D	節溫器-含蓋
101 905 601F	火星塞-FR7HE
170 787	避震器-後-GAS
171 121 407E	副水筒
191 121 251C ~	水箱
191 129 620 -	空氣芯
191 698 151G !	來令片組-前
191 837 206A #	外把手-右前門
191 853 586C	按扣-門飾條
191 906 091H *	汽油泵-
191 953 227A	繼電器-21/191
1C0 820 413G -	冷排
1C0 837 879   GRU	外把手鎖仁飾蓋
1C0 837 879A  GRU	外把手鎖仁飾蓋-右
1C0 945 097E  ZZ	第三煞車燈-瑕疵
1C0 959 455C +	風扇馬達
1H0 121 407A #	副水筒
1H0 199 609K /	引擎腳-前
1H0 412 303B *	避震器橡皮-前
1H0 413 031A ~	避震器-前
1H0 498 099 +	外半軸修理包
1H0 698 451F !	來令片組-後
1H0 959 455J +	風扇馬達
1J0 129 684CG -	進氣管
1J0 521 127A	六孔橡皮-遞軸-前
1J0 615 301R +	煞車盤-前
1J0 698 151G	來令片組-前
1J0 820 105 *	蒸發器-不含外殼/膨脹閥
1J0 820 413D +	冷排
1J0 858 137A	扣子
1J0 927 803 /	ABS速度感知器-左前
1J0 945 511A /	煞車燈開關
1J1 614 106E *	煞車真空輔助泵
1J1 820 007 *	蒸發器-不含外殼-含膨脹閥
1J1 823 533C  82V	引擎蓋拉柄-黑
1J1 907 511C *	冷氣控制馬達-冷暖氣
1J4 837 461H ~	升降機-電動左前
1J5 253 609AF	消音器-後段
1K0 121 251AB /	水箱
1K0 121 251BK -	水箱
1K0 121 251DM #	水箱
1K0 121 251DM /	水箱
1K0 129 620D	空氣芯
1K0 145 770AH #	通氣管
1K0 145 770AH ~	通氣管
1K0 145 803BM /	渦輪增壓散熱器
1K0 145 832B /	通氣管-渦輪冷卻器-下
1K0 199 262AS *	引擎腳-右
1K0 199 262AT +	引擎腳-右
1K0 199 262CP +	引擎腳-右
1K0 199 262K -	引擎腳-右
1K0 199 555M *	引擎腳-左
1K0 199 555N *	引擎腳-左
1K0 199 555N -	引擎腳-左
1K0 199 855AL	引擎腳-後
1K0 199 855BB	引擎腳-後
1K0 199 855BB *	引擎腳-後
1K0 253 141AA XX	排氣管接管-中古
1K0 253 725F	固定夾-排氣管
1K0 411 315R /	平衡桿接頭
1K0 423 810A /	惰桿
1K0 423 811E -	和尚頭-惰桿左
1K0 423 811E /	和尚頭-惰桿左
1K0 423 811K ~	和尚頭-惰桿左
1K0 498 201D	防塵套修包-內半軸
1K0 498 201J	防塵套修包-內半軸
1K0 498 201J *	防塵套修包-內半軸
1K0 498 203A	防塵套修包-外半軸
1K0 498 203A -	防塵套修包-外半軸
1K0 498 203C	防塵套修包-外半軸
1K0 498 203F	防塵套修包-外半軸
1K0 498 203F *	防塵套修包-外半軸
1K0 513 425A -	避震器防塵套-後
1K0 521 307A	六孔橡皮-傳動軸-後
1K0 598 611 *	輪軸承修理包-後-代哈扶
1K0 611 775C ~	煞車軟管-後
1K0 612 041FG	真空管
1K0 612 041FH	真空管
1K0 615 301AA +	煞車盤-前
1K0 615 301AK	煞車盤-前
1K0 615 601AA	煞車盤-後
1K0 615 601AB	煞車盤-後
1K0 615 601AB #	煞車盤-後
1K0 819 031E /	暖排
1K0 820 859F	壓縮機總成
1K0 820 859M	壓縮機總成
1K0 825 202AF ~	底盤護板-右
1K0 825 235AB ~	引擎下護板
1K0 825 235AE ZZ	引擎下護板-瑕疵
1K0 905 841 ~	引擎鎖座-含開關
1K0 906 627A	壓力調節閥
1K0 919 051AP *	汽油泵-代浮筒
1K0 937 125D ~ ZZ	保險絲座-瑕疵
1K0 953 519J 9B9 ~	雨刷開關
1K0 955 455 +	雨刷噴水筒蓋
1K0 959 455DL !	風扇馬達-左
1K0 959 455EF /	風扇馬達-左
1K0 959 455ET -	風扇馬達-右
1K0 959 455FB *	風扇馬達
1K0 959 455FR /	風扇馬達-左
1K0 959 455P	風扇馬達-左
1K0 998 455 /	風扇馬達總成-附風扇架
1K1 614 019K -	煞車總泵
1K1 820 015E !	鼓風機
1K1 820 015J	鼓風機
1K1 820 103A ~	蒸發器-含膨脹閥
1K5 955 651 -	噴水馬達
1K6 941 005P -	大燈總成-左-LPL472
1K6 945 095E *	尾燈-左外-LLE322
1K8 837 205F  XX	外把手-左-前/後-中古
1K8 941 754B	大燈總成-右-氙氣
1K9 805 588	水箱架
1K9 853 651   QWA ZZ	前柵-瑕疵
1S0 820 411J /	冷排
1T0 501 611B *	輪軸承-後-代哈扶
1T0 805 588AD	水箱架
1T0 941 699C *	霧燈-左
1T0 941 699D *	霧燈-左
1T1 857 507AHS *	後視鏡總成-左電動
1T1 857 507AK 9B9 *	後視鏡座-左電動
1T1 857 508AC 9B9 *	後視鏡座-右電動
1T1 857 508TS *	後視鏡總成-右電動
1U0 941 531D  WHS	大燈開關
211 501 287S	輪軸承修理包-後
251 609 615 !	煞車鼓
280 565	避震器-後
2E0 698 151B +	來令片組-前-代線
2E0 698 151E	來令片組-前
2E0 909 052HG	引擎鎖開關
2E0 927 748Q /	ABS速度感知器-前/LR
2E1 843 014J	六角鎖-右中門
2G0 805 911C	內龜擋泥板-左前
2G1 998 002	雨刷片組-軟式
2G1 998 002A	雨刷片組-軟式
2GA 807 651	保桿支架-前-下
2GA 941 773D	大燈總成-左-LED
2GA 945 095A	尾燈-左外-LED
2GA 949 101A	方向燈-後視鏡-左
2GM 854 732D  9B9	輪弧-右前
2GM 854 939G  9B9	車門下飾條-左前
2GM 854 950F  9B9	車門下飾條-右後
2H0 837 401L	升降機-電動-左前
2H0 945 097J	第三煞車燈
2H1 998 002	雨刷片組-軟式
2H3 422 891C	方向機油管-方向機>油壺
2H6 807 489H  RYP	通風網-左
2K0 422 154A /	方向機泵
2K0 945 096P *	尾燈-右
2K7 807 417J  GRU	保桿-後外
2K7 857 407K  9B9	後視鏡座-左電動
2K7 857 408K  9B9	後視鏡座-右電動
2K7 857 408L  9B9	後視鏡座-右電動
2K8 941 005C	大燈總成-左
2K8 941 006C	大燈總成-右
2Q0 121 253M	水箱
2Q0 121 321A /	水箱蓋
2Q0 121 407	副水筒
2Q0 199 555AH	引擎腳-左
2Q0 199 851AE	引擎腳-後
2Q0 407 152C	三角架-右
312 267	避震器-前-GAS
315 910	避震器-前-GAS
315 911	避震器-前
316 285	避震器-後-GAS
331 611 051A	煞車分泵-後
357 412 331A /	避震器上座--綠
357 498 099	外半軸修理包
357 615 601B !	煞車盤-後
357 959 455F	風扇馬達
376007SP	避震器-後
376178SP	避震器-前
376224SP	避震器-後
376243SP	避震器-前
377 412 047	避震器蓋子-前
3AA 698 451A	來令片組-後
3B0 823 499C	引擎蓋緩衝橡皮
3B0 919 051C ~	汽油泵-代浮筒
3B0 949 117B /	側燈-橢圓/黃
3B4 839 016AL ~	六角鎖-右後門
3B7 601 171   XRW ~	輪圈蓋
3B7 955 681 .	噴水馬達-大燈
3C0 145 832M /	通氣管-渦輪
3C0 199 555AE	引擎腳-左
3C0 199 555Q	引擎腳-左
3C0 199 555S -	引擎腳-左
3C0 498 099 *	外半軸修理包
3C0 505 223C	後樑搖臂桿-左
3C0 698 451F !	來令片組-後
3C0 805 588J	水箱架
3C0 807 184 ~	保桿側固座-前右
3C0 907 511A	冷氣控制馬達
3C0 907 521G /	鼓風機控制器
3C0 919 050AA /	柴油泵-代浮筒
3C0 951 223E	喇叭-高音-H
3C0 959 653 *	安全氣曩線圈
3C1 955 023E	雨刷馬達總成-含支架
3C4 837 085C	內把手拉線-前/後-L/R
3C5 807 460A  2ZZ ~	保桿飾條-後右-鉻
3D0 698 451A +	來令片組-後
3D0 915 181C ZZ	電瓶控制盒
3D1 837 015AP ZZ	六角鎖-左前門-瑕疵
3G0 941 661H	霧燈/方向燈-左
3G0 941 661H *	霧燈/方向燈-左
3G0 941 662H *	霧燈/方向燈-右
3G8 805 588AA	水箱架
3G9 955 427B	雨刷片-後-軟式
3P0 853 665A 9B9	通風網-左
3Q0 121 205	風扇架
3Q0 407 151J -	三角架-左
3Q0 407 151S +	三角架-左-附和尚頭
3Q0 407 152S +	三角架-右-附和尚頭
3Q0 407 761TX	傳動軸-左
3Q0 615 601A !	煞車盤-後
3Q0 698 151C	來令片組-前
3Q0 698 451C +N	來令片組-後
3Q0 698 451D	來令片組-後
3Q0 919 087J	汽油泵
3V0 807 906A	貼紙-後葉右
3V5 945 308	尾燈-右內-LED
3V9 827 705C	防水橡皮-後箱
3V9 827 851B	後箱蓋驅動馬達-左
3V9 827 852B	後箱蓋驅動馬達-右
431 951 253H	繼電器-643
4A0 260 403AC /	冷排
4A0 412 249 +	避震器軸承-前
4A0 498 203A *	防塵套修包-外半軸
4A0 611 817A	煞車油壺橡皮
4A0 698 151C /	來令片組-前
4B0 121 101R -	水管-上
4B0 698 151J +	來令片組-前
4B0 819 439C /	空調濾芯-活性碳
4B3 611 021 /	煞車總泵
4B3 698 451A -	來令片組-後
4B5 827 552D /	撐桿-後箱-L/R
4B5 945 096B ~	尾燈-右
4D0 412 377F +	避震器上座
4E0 615 601L !	煞車盤-後
4E0 698 151G -	來令片組-前
4E0 698 151K *	來令片組-前
4E0 698 151K +	來令片組-前
4E0 953 541	方向盤回正感知器
4F0 260 805AB	壓縮機總成
4F0 819 439AS #	空調濾芯組-活性碳
4F5 945 095AB	尾燈-左外-LED
4G0 121 212B +	輔助水箱-右前
4G0 260 403Q /	冷排
4G0 317 021AG -	冷卻器-ATF
4G0 615 121 *	來令片感應線-後
4G0 615 121 /	來令片感應線組-後*2
4G0 615 121D /	來令片感應線-前
4G0 698 151AA !	來令片組-前
4G0 698 451 *	來令片組-後
4G0 698 451J -	來令片組-後
4G0 825 208A	底盤護板-中右
4G0 941 044J	大燈總成-右-氙氣
4G8 823 301E ZZ	引擎蓋後鈕-左-已烤漆
4G8 823 302E ZZ	引擎蓋後鈕-右-已烤漆
4G8 827 948G	支架-後擾流板
4G8 827 987A  GRU	固定座-後擾流板
4G8 949 102	方向燈-後視鏡-右
4G9 955 985	噴水頭
4H0 131 984AD	尿素導管-前
4H0 616 005D +	空氣泵浦
4H0 616 013B *	控制閥-空氣泵
4H0 616 039AK *	氣壓彈簧避震器-前左/右
4H0 616 039AP /	氣壓彈簧避震器-前左/右
4H0 698 451M	來令片組-後
4H0 907 064DD	控制電腦
4H0 959 126B	冷氣壓力開關
4H0 959 126C	冷氣壓力開關
4KE 955 275B  GRU	大燈噴水器外蓋-L
4L0 810 171A	內龜擋泥板-左後
4L0 827 552F ~	撐桿-後箱
4L0 941 700A *	霧燈-右
4L1 955 023F #	雨刷桿支架
4M0 199 371B -	引擎腳-左-電動
4M0 199 371FC	引擎腳-左
4M0 199 371FE	引擎腳-左
4M0 199 371FL	引擎腳-左-電動
4M0 199 372ET	引擎腳-右-電動
4M0 199 372FE	引擎腳-右
4M0 199 372FF	引擎腳-右-電動
4M0 411 317J	平衡桿接頭-左/右
4M0 698 451R	來令片組-後
4M0 807 682AA  4W3	通風網-右
4M0 819 439	空調濾芯
4M0 819 439A -	空調濾芯-活性碳
4M0 819 439A /	空調濾芯-活性碳
4M0 823 359B	撐桿-引擎蓋
4M0 827 506D	六角鎖-後箱
4M0 862 153B	中控分泵-油箱蓋
4M0 945 093E	尾燈-左上-LED
4M0 947 133A	室內燈殼飾蓋-前
510 837 206D  GRU	外把手-後門-右
510 837 206K  GRU	外把手-前門-右
510 945 096S *	尾燈-右外
565 833 056	車門總成-右後
565 839 461A	升降機-電動左後
575 833 052H	車門總成-右後
57A 807 184A	保桿側固定座-右前
57A 955 109   GRU	大燈噴水器外蓋-左
57B 857 507	後視鏡座-左電動
57B 857 508	後視鏡座-右電動
5C0 820 411E	冷排
5C1 955 425	雨刷片-軟式
5E0 837 462	升降機-電動右前
5E0 941 607	大燈後蓋-左/右
5E3 807 248D	前保桿保麗龍
5E7 807 421D	保桿-後
5E9 945 112A *	尾燈-右-LED
5G0 821 105B ZZ	葉子板-左前-瑕疵
5G0 853 617	VW 標誌-後
5G0 857 538E  GRU #	後視鏡外殼-右
5G0 945 093M *	尾燈-左內
5G0 945 095 *	尾燈-左外
5G0 945 096 *	尾燈-右外
5G0 949 102	方向燈-後視鏡-右
5G0 955 711C	雨刷馬達-後
5G0 965 567B	輔助水泵-右
5G9 945 096C *	尾燈-右外
5G9 945 096D	尾燈-右外-暗紅
5H0 805 969A	內龜擋泥板-左前-後端上
5H0 807 109D	保桿內鐵-前
5H0 807 651E	保桿支架-前-下
5H0 821 021B	葉子板-左前
5H0 821 022A	葉子板-右前
5H0 823 531C	引擎蓋拉線-前段
5H0 853 601G  DPJ	VW標誌-前
5H1 941 078	大燈總成-右-LED
5H9 807 417K  GRU	保桿-後外
5H9 867 703   4PK	後箱內飾板-左上
5J6 945 111 *	尾燈-左
5JA 601 151   FOD	輪圈蓋
5K0 121 253D *	水箱
5K0 698 151	來令片組-前
5K0 698 451C	來令片組-後
5K0 945 257 *	燈泡座-左外尾燈
5K0 962 125  REH ~	中控開關-左前
5K4 959 857  XSH ~	電窗開關總成-黑/鉻
5K6 955 427A	雨刷片-後-軟式
5L1 941 018D  ZZ	大燈總成-右-氙氣-瘕疵
5M0 827 505H  9B9 XX	六角鎖-後箱-中古
5M1 941 005B ZZ	大燈總成-左 瑕疵
5N0 121 205K ~ 9B9	風扇馬達總成-帶架
5N0 121 253L /	水箱
5N0 129 684B	進氣管
5N0 145 832J	通氣管-渦輪
5N0 807 521B  9B9 XX	後下擾流板-中古
5N0 820 411E *	冷排
5N0 820 411E -	冷排
5N0 827 435A	撐桿固定座-左後
5N0 827 436A	撐桿固定座-右後
5N0 839 015J	六角鎖-左後門
5N0 839 015R /	六角鎖-左後門
5N0 839 016G	六角鎖-右後門
5N0 839 885G	內把手座-右-前/後
5N0 854 731B  9B9 ~	輪弧-左前
5N0 854 819B  9B9 ZZ	輪弧-左後-瑕疵
5N0 854 949E  UBN ZZ	車門下飾條-左後-瑕疵
5N0 919 109F -	燃油芯/含外殼-汽油
5N0 941 071	倒車燈-左後
5N0 941 072	倒車燈-右後
5N0 943 021A	牌照燈
5N0 945 095N	尾燈-左外
5N0 945 095Q  ZZ	尾燈-左外-瑕疵
5N0 955 453B	雨刷噴水筒
5N0 965 561	輔助水泵
5N1 837 015C ~	六角鎖-左前門
5NA 805 705E	水箱架下橫樑
5NA 807 568A  041 XX	後保下巴排氣管蓋板-中古
5NA 809 857   GRU	油箱口蓋板
5NA 823 186C	引擎蓋上鎖
5NA 839 015E	六角鎖-左後門
5NA 839 016E	六角鎖-右後門
5NA 854 731E  9B9  ZZ	輪弧-左前-瑕疵
5NA 854 940M  GRU	車門下飾條-右前
5NA 854 949P  RYP	車門下飾條-左後
5NA 945 095D	尾燈-左外-LED
5NA 945 307H	尾燈-左內-LED
5NA 949 101	方向燈-後視鏡-左
5NB 837 015E	六角鎖-左前門
5NB 837 016E	六角鎖-右前門
5NB 857 508AG 9B9	後視鏡座-右電動
5NB 941 114C ZZ	大燈總成-右-LED
5NL 854 950J  RYP	車門下飾條-右後
5NN 854 820   9B9   ZZ	輪弧-右後-瑕疵
5NN 941 113D	大燈總成-左-LED
5NN 941 114D	大燈總成-右-LED
5Q0 121 070BR -	水管-塑鋼
5Q0 121 203EA	風扇總成
5Q0 121 205AF	風扇架
5Q0 121 251EP -	水箱
5Q0 121 251EP /	水箱
5Q0 121 251GF /	輔助水箱
5Q0 121 251HQ *	輔助水箱
5Q0 121 407G  ZZ	副水筒-暇疵
5Q0 121 407M	副水筒
5Q0 121 407T	副水筒
5Q0 122 101S	水管-上-右
5Q0 122 109E	水管-
5Q0 129 254E	集風罩
5Q0 129 254J	集風罩
5Q0 129 618C	進氣管
5Q0 129 621B	集風板
5Q0 129 954H	集風罩蓋板
5Q0 145 770B	通氣管-渦輪
5Q0 145 803K #	渦輪增壓散熱器
5Q0 199 262CK *	引擎腳-右
5Q0 199 855AG	引擎腳-後
5Q0 199 855AH	引擎腳-後
5Q0 253 725D	固定夾-排氣管
5Q0 260 839A	壓縮機控制閥
5Q0 407 151J *	三角架-左
5Q0 407 152J *	三角架-右
5Q0 407 183E -	三角架鐵套-後
5Q0 407 253A	羊角-左前輪
5Q0 407 254A	羊角-右前輪
5Q0 407 256R	羊角-右前輪
5Q0 407 365A	和尚頭-三角架左
5Q0 407 365A *	和尚頭-三角架左
5Q0 407 366A	和尚頭-三角架右
5Q0 505 465A	平衡桿接頭-後-L/R
5Q0 505 465C	平衡桿接頭-後-L/R
5Q0 521 127 -	六孔橡皮-遞軸-前
5Q0 521 307 -	六孔橡皮-遞軸-後
5Q0 698 151F	來令片組-前
5Q0 698 151K !	來令片組-前
5Q0 698 451N	來令片組-後
5Q0 816 411BH	冷排
5Q0 816 411BH #	冷排
5Q0 816 411BH -	冷排
5Q0 816 411M *	冷排
5Q0 819 644A	空調濾芯
5Q0 819 653 /	空調濾芯-活性碳
5Q0 898 850A	O型環組-膨脹閥
5Q0 906 093B	汽油泵控制盒
5Q0 919 051CB	汽油泵-代浮筒
5Q0 951 221	喇叭-低音-L
5Q0 951 221C	喇叭-低音-L
5Q0 951 223	喇叭-高音-H
5Q0 953 549A	方向盤感知控制器
5Q0 959 760C	控制盒-座椅記憶
5Q0 965 567	輔助水泵
5Q0 965 567 *	輔助水泵
5Q1 713 059H	排檔桿機構-自排
5Q1 816 100A !	蒸發器-含膨脹閥
5Q1 819 021G /	鼓風機
5Q1 819 021H /	鼓風機
5QJ 906 093	汽油泵控制盒
5QN 498 203	防塵套修包-外半軸
5TA 827 506D	六角鎖-後
5TA 839 015E	六角鎖-左後門
5TA 945 104   ZZ	反光燈-右後外-瑕疵
5WA 122 051R	水管-下
5WA 199 262A	引擎腳-右
5WA 199 262E	引擎腳-右
5WA 199 262H	引擎腳-右
5WA 199 262Q	引擎腳-右
5WA 201 550	油箱蓋
5WA 201 550B	油箱蓋
5WA 201 550E	油箱蓋
5WA 407 621A	輪軸承-前-代哈扶
5WA 698 151T	來令片組-前
5WA 816 411A -	冷排
5WB 819 021A	鼓風機-無控制器
645 953 507   IGI	中控/故障燈開關
654 827 506	六角鎖-後廂
657 121 295D	集風板-下
657 807 183	保桿側固定座-左前
657 819 416	拖比蓋板-右
657 827 939   GRU	後擾流板
657 831 052A	車門總成-右前
657 941 015A	大燈總成-左-LED
657 941 016A	大燈總成-右-LED
658 941 015B	大燈總成-左-LED
658 941 016B	大燈總成-右-LED
688.130	渦輪增壓器墊片
