料號,廠牌,副廠料號,品名
001 927 321A /,MARELLI,,速度感知器-變速箱
001 927 331A,VW,,電磁閥-變速箱閥體-粉紅
001 927 331B,VW,,電磁閥-變速箱閥體-灰
001 927 333,VW,,電磁閥-變速箱閥體-綠
001 927 333A,VW,,電磁閥-變速箱閥體-黃
001 927 333B,VW,,電磁閥-變速箱閥體-藍
001 927 363,VW,,線路板-電磁閥體
001 927 393,VW,,閥體連續電阻
001 927 731R,VW,,變速箱電腦
001 927 749D,VW,,變速箱電腦
001 927 749G,VW,,變速箱電腦
002 301 185A,VW,,輸出軸O環
002 517 185M,VW,,軸承-差速器
002 517 289A,VW,,油封-內半軸小
002 517 289A /,TOPRAN,,油封-內半軸小
003 321 419B,VW,,O型環-變速箱油尺導管
003 321 419B *,台製,,O型環-變速箱油尺導管
003 323 611,VW,,扭力轉換器襯套
003 325 381,VW,,O型環-離心軸蓋
003 325 405F,VW,,柱塞
003 519 089D,VW,,油封-扭力變換器
003 519 089D *,ELRING,,油封-扭力變換器
003 519 185,SKF,,軸承-差速器
003 911 023E,VW,,起動馬達
003 911 023EX *,BOSCH,,起動馬達
006 945 415,VW,,倒車燈開關
606718080,,,天線-短
007 311 517,VW,,墊片-軸承套-正時齒輪
00A 096 315 006,VOTEX,,水蠟
00V 061 127,VW,,衣架
00V 096 306A  020,VOTEX,,真皮保養液-250ML
00V 096 307A  020,VOTEX,,清潔劑-朔膠內裝-300ML
00V 096 312 006,VOTEX,,多功能防繡潤滑劑
00V 096 314   006,VOTEX,,朔膠美容劑
00V 096 323A  020,VOTEX,,皮革清潔劑
010 301 192,VW,,差速器油封座
010 321 241F,VW,,油泵-變速箱
010 321 261,VW,,活塞環-變速箱泵
010 321 309K,VW,,強迫擋線
010 321 359E,VW,,油底殼-變速箱
010 321 359F,VW,,油底殼-變速箱
010 321 361F,VW,,油底殼-變速箱
010 321 371B,VW,,油底殼墊片-變速箱
010 321 371B /,ELRING,,油底殼墊片-變速箱
010 321 385B,VW,,墊片-變速箱前端
010 321 405A,VW,,變速箱油尺導管
010 323 115,VW,,軸套
010 323 121B,VW,,活塞皮碗-中
010 323 139,DELTA,,離合器鐵片
010 323 141C,DELTA,,離合器片-自排
010 323 157H,VW,,固定環
010 323 157J,VW,,固定環
010 323 159B,VW,,固定環
010 323 161A,VW,,墊片
010 323 217A,VW,,活塞皮碗-小
010 323 227A,DELTA,,離合器鐵片
010 323 229D,VW,,梅花壓板
010 323 231C,DELTA,,離合器片-自排-大
010 323 241C,VW,,離合器片-自排
010 323 291,VW,,墊片
010 323 339D,VW,,軸承-變速箱
010 323 461A,VW,,制動帶
010 323 477,VW,,活塞皮碗-大
010 323 479,DELTA,,活塞皮碗-大
010 323 533,VW,,O型環-制動帶活塞
010 323 557A,VW,,活塞環-變速箱中心軸
010 323 561A,VW,,驅動軸-扭力變換器
010 325 421A,VW,,變速箱濾網
010 325 421A *,FEBI,,變速箱濾網
010 325 443,BRYCO/DELTA,,濾網墊片
010 398 002 *,DELTA,,離合器組
010 398 003 *,DELTA,,鐵片組
010 398 007B,VW,,變速箱修理包
010 398 007B *,ELRING,,變速箱修理包-小
010 409 061A,VW,,冷卻器-ATF
010 409 067A,VW,,冷卻器螺絲
010 409 085E,VW,,油封
010 409 187B,VW,,路碼錶齒輪-驅動
010 409 189,VW,,卡環-路碼錶齒輪
010 409 193,VW,,路碼錶齒輪座
010 409 196,VW,,路碼錶齒輪
010 409 259A,VW,,O型環-差速器
010 409 528,VW,,油封-差速器
010 409 529C,VW,,油封-差速器輸入軸
010 409 529C *,KACO,,油封-差速器輸入軸
010 409 549B,VW,,油封圈-變速箱前端
010 409 568,VW,,油封-扭力器
010 409 568 *,ELRING,,油封-扭力器
010 409 580,VW,,O型環
010 409 597A,VW,,墊片-差速器
010 409 597A *,ELRING,,墊片-差速器
010 409 604F,VW,,輸出軸
010 409 841A,VW,,通氣孔蓋
010 409 847,VW,,通氣孔
010 498 010B,VW,,修理包-差速器
011 519 345,VW,,O型環-差速器
012 141 165E -,LUK,,釋放軸承-離合器
012 141 180B,LUK,,釋放軸承座
012 141 719B,VW,,離合器撥叉
012 141 741,VW,,撥叉彈簧
012 301 153H,VW,,固定銷-曲軸後蓋
012 301 457C,VW,,排擋桿油封
012 301 457C /,TOPRAN,,排擋桿油封
012 311 105AH,VW,,主軸
012 311 113B,VW,,油封
012 311 113B *,ELRING,,油封
012 311 131BF,VW,,齒輪-3檔
012 311 247H,VW,,同步齒-1/2檔
012 311 295D,VW,,同步齒
012 311 295F,VW,,同步齒
012 409 182C,VW,,差速器感知器
012 409 191D,VW,,路碼錶感知器
012 409 191D *,TOPRAN,,路碼錶感知器
012 409 343H,VW,,接頭座-內半軸
012 409 413,VW,,卡環
012 911 023C *,BOSCH,,起動馬達
012 911 023F *,BOSCH,,起動馬達
012 911 023F /,BH,,起動馬達
012 911 023GX,VW-X,,起動馬達
012 911 023J -,VALEO,,起動馬達
012 911 023LX,VW-X,,起動馬達
012 919 823B,VW,,倒車燈開關
012 919 823F,VW,,倒車燈開關
013 141 181 1,VW,,釋放軸承座
013 141 719 6,VW,,離合器拉桿
013 301 191,VW,,變速箱墊片-手排
013 301 235,VW,,變速箱墊片-手排
013 311 113 1,VW,,油封-變速箱輸入軸
013 311 239 2,VW,,同步齒輪-1/2擋
013 311 269 1,VW,,1/2檔齒輪
013 311 271,VW,,2檔齒輪Z35
013 311 277 1,VW,,齒環
013 311 279 1,VW,,銅齒環
013 311 375B,VW,,軸承-變速箱
013 311 501,VW,,倒擋齒輪
013 311 562C,VW,,換擋撥叉-5檔
013 409 143B,VW,,盆形齒輪組
013 409 399 2,VW,,油封-差速器
013 945 415A,VW,,倒車燈開關
014 301 155,FEBI,,銅套-起動馬達
014 301 467 2,VW,,變速箱後殼蓋子-手排
014 301 485,VW,,氣嘴蓋-變速箱
014 311 257,VW,,變速箱齒輪-1擋
014 311 295E,VW,,同步齒輪-2/3擋銅齒
014 311 551 1,VW,,撥叉-變速箱
014 311 561 1,VW,,撥叉-3/4檔
014 409 193B,VW,,路碼錶齒輪座
015 311 544,VW,,排擋桿橡皮
015 311 544 /,TOPRAN,,排擋桿橡皮
016 141 181,VW,,釋放軸承座
016 141 181 /,TOPRAN,,釋放軸承座
016 409 399B,VW,,油封-差速器
016 409 399B -,ELRING,,油封-差速器
017 525 093,VW,,通氣管蓋-變速箱
017 525 400A,VW,,油封-後差速器
018 321 367,VW,,磁鐵-變速箱油底殼
018 321 371,VW,,油底殼墊片-變速箱
018 321 377B,VW,,放油螺絲
018 321 391C,VW,,固定座-油底殼
018 325 433B,VW,,變速箱濾網
018 325 443,VW,,濾網墊片
018 409 057,VW,,放油螺絲-差速器
018 409 189,VW,,油封-差速器
018 409 399B,VW,,油封-變速箱輸出軸
018 927 321,VW,,速度感知器-變速箱
01E 103 551G,VW,,墊片-引擎體後蓋
01E 141 165D,VW,,釋放軸承-離合器
01E 141 719,VW,,離合器撥叉
01E 141 751A,VW,,撥叉彈簧
01E 301 235,VW,,變速箱墊片-手排
01E 311 235,VW,,軸承-接頭座
01E 311 239L,VW,,同步齒輪-1/2檔
01E 311 925D,VW,,輸出軸-變速箱
01E 311 941,VW,,軸承
01E 409 400,VW,,油封-差速器-後輸入軸
01E 409 751F,,,差速器-中-自鎖式
01E 941 521,VW,,倒車燈開關
01E 941 521A,VW,,倒車燈開關
01E 941 521B -,FEBI,,倒車燈開關
01F 321 243,VW,,油封-自動油泵
01F 321 359A,VW,,油底殼-變速箱
01F 321 371,VW,,油底殼墊片-變速箱
01F 321 371 *,FEBI,,油底殼墊片-變速箱
01F 321 371 -,TOPRAN,,油底殼墊片-變速箱
01F 321 381A,VW,,墊片-變速箱
01F 321 386,VW,,油封圈-自動油泵
01F 321 431A,VW,,油尺-變速箱
01F 325 433,VW,,變速箱濾網
01F 325 433 -,FEBI,,變速箱濾網
01F 325 443,VW,,濾網墊片
01F 325 443 /,TOPRAN,,濾網墊片
01F 409 133A,VW,,O型環墊圈-差速器
01F 409 191,VW,,路碼錶感知器
01F 409 359,VW,,螺絲-傳動軸接頭座-右
01F 409 399,VW,,油封-差速器左
01F 409 400,VW,,油封-差速器右
01F 409 400 /,CORTECO,,油封-差速器右
01F 971 661,VW,,線路板-電磁閥體
01J 300 050QX,VW-X,,變速箱總成
01J 300 050RX,VW-X,,變速箱總成
01J 300 051X,VW-X,,變速箱總成-HAY
01J 300 053SX,VW-X,,變速箱總成
01J 300 058LX,VW-X,,變速箱總成
01J 300 061MX,VW,,變速箱總成-SA
01J 300 062CX,VW,,變速箱總成-SA-KTM
01J 300 100  HAY,VW,,變速箱外殼-含齒輪
01J 301 212H,VW,,變速箱後蓋
01J 301 212M,VW,,變速箱後蓋
01J 301 279B,VW,,驅動鋼帶滑板架
01J 301 378A,VW,,蓋板
01J 301 461B,VW,,墊片
01J 301 461B *,ELRING,,墊片
01J 301 463A,VW,,墊片
01J 301 467D,VW,,變速箱後殼蓋
01J 301 472,VW,,通氣管-變速箱
01J 301 474C,VW,,通氣管-變速箱
01J 301 475N,VW,,變速箱外殼墊片
01J 301 475N *,ELRING,,變速箱外殼墊片
01J 301 515K,VW,,油泵架
01J 301 517D,VW,,變速箱濾網-SA
01J 301 517D -,FEBI,,變速箱濾網-SA
01J 301 517D S1 +,HENGST,,變速箱濾網+墊片-SA
01J 301 517D S1 -,FEBI,,變速箱濾網+墊片-SA
01J 301 535H,VW,,變速箱油管
01J 301 537G,VW,,變速箱油管
01J 301 547A,VW,,墊片
01J 301 547F,VW,,墊片
01J 301 547H,VW,,墊片
01J 301 553,VW,,油封-油泵架
01J 311 440B,VW,,軸承-變速箱
01J 311 440C,VW,,軸承-變速箱
01J 311 445,VW,,軸承
01J 311 445B,VW,,軸承
01J 321 171L,VW,,固定座
01J 321 218D,VW,,變速箱齒輪撥桿座
01J 321 223C,VW,,彈簧
01J 321 225,VW,,螺帽-變速箱齒輪撥桿座
01J 323 257A,VW,,齒輪箱上蓋板
01J 323 530G,VW,,導油管
01J 323 911AD,VW,,變速箱傳動軸
01J 323 911BE,VW,,變速箱傳動軸
01J 323 929A,VW,,活塞-帶O型環
01J 323 945,VW,,固定碟盤
01J 325 031BC,VW,,閥體/油泵-變速箱
01J 325 031BF,VW,,閥體/油泵-變速箱
01J 325 031BK,VW,,閥體/油泵-變速箱
01J 325 032PX,VW-X,,閥體/油泵-變速箱
01J 325 413,VW,,油封-變速箱閥體
01J 331 101FA,VW,,輸入軸
01J 331 133J,VW,,軸承-變速箱
01J 331 133J *,LUK,,軸承-變速箱
01J 331 191B,VW,,感應器轉子
01J 331 261P,VW,,油封-差速器
01J 331 261P *,ELRING,,油封-差速器
01J 331 291F,VW,,感應器轉子
01J 331 301BG,VW,,驅動鋼帶-變速箱-01J
01J 331 323G,VW,,驅動鋼帶滑板
01J 331 325G,VW,,驅動鋼帶滑板
01J 398 241,VW,,離合器片組
01J 398 241B,VW,,離合器片組
01J 398 241C,VW,,離合器片組
01J 398 445A,VW,,軸承
01J 398 941,VW,,離合器鐵片組
01J 398 941A,VW,,C型環組
01J 398 944,VW,,離合器片組
01J 398 944A,VW,,離合器片組
01J 398 944B,VW,,離合器片組
01J 398 944C,VW,,離合器片組
01J 409 179D,VW,,固定座-接頭座
01J 409 179DS,VW,,固定座總成-接頭座
01J 409 343A,VW,,接頭座-內半軸-左
01J 409 343B,VW,,接頭座-內半軸-左
01J 409 356D,VW,,接頭座-內半軸-右
01J 409 370A,VW,,彈簧-接頭座
01J 927 156CG,VW,,變速箱電腦
01J 927 156CJ,VW,,變速箱電腦
01J 927 156CJ X,待檢測,,變速箱電腦
01J 927 156CP,VW,,變速箱電腦
01J 927 156CR,VW,,變速箱電腦
01J 927 156CS,VW,,變速箱電腦
01J 927 156DB,VW,,變速箱電腦
01J 927 156DS,VW,,變速箱電腦
01J 927 156ET,VW,,變速箱電腦
01J 927 156FH,VW,,變速箱電腦
01J 927 213D,VW,,變速箱電腦插頭墊片
01K 927 322,VW,,O型環-變速箱
01K 927 359,VW,,電磁閥體
01L 321 371,VW,,油底殼墊片-變速箱
01L 323 571B,VW,,扭力變換器
01L 325 429B,VW,,變速箱濾網
01L 325 429B -,FEBI,,變速箱濾網
01L 325 429B S1 -,FEBI,,變速箱濾網+墊片
01L 325 429C,VW,,變速箱濾網
01L 325 443,VW,,濾網墊片
01L 409 144A,VW,,軸承-差速器
01L 409 399,VW,,油封-差速器
01L 409 399 *,ZF,,油封-差速器
01L 919 821B,VW,,多功能開關
01L 927 321,VW,,速度感知器-變速箱
01L 927 321 *,ZF,,速度感知器-變速箱
01L 927 331,VW,,電磁閥-變速箱閥體
01M 300 032N,VW,,變速箱總成
01M 300 037EX,VW,,變速箱總成
01M 321 241B,VW,,油泵-變速箱
01M 321 359,VW,,油底殼-變速箱
01M 321 359 /,TOPRAN,,油底殼-變速箱
01M 321 385,VW,,墊片-油泵
01M 321 407,VW,,加油管-變速箱
01M 321 432A,VW,,加油管塞子-變速箱
01M 321 435B,VW,,加油管固定夾-變速箱
01M 323 105CX,VW-X,,離合器組-K2-倒檔
01M 323 205A,VW,,離合器組-K1-1/3擋
01M 323 205CX,VW-X,,離合器組-K1-1/3擋
01M 323 255,VW,,O型環
01M 323 571F,VW,,扭力變換器
01M 323 571J,VW,,扭力變換器
01M 323 820,VW,,調整墊片
01M 323 820A,VW,,調整墊片
01M 323 820B,VW,,調整墊片
01M 323 820C,VW,,調整墊片
01M 323 821,VW,,推板
01M 323 875BT,VW,,調整墊片-2.25
01M 323 875CA,VW,,調整墊片-2.275
01M 323 921A,VW,,離合器組-K3-4擋
01M 323 921CX,VW-X,,離合器組-K3-4擋
01M 323 921D,VW,,離合器組-K3-4擋
01M 325 039BX,VW-X,,電磁閥體-變速箱
01M 325 039D,VW,,電磁閥體-變速箱
01M 325 039DX,VW-X,,電磁閥體-變速箱
01M 325 039FV,VW,,電磁閥體-變速箱
01M 325 039FX,VW-X,,電磁閥體-變速箱
01M 325 429,VW,,變速箱濾網
01M 325 429 -,FEBI,,變速箱濾網
01M 325 429 S3 -,FEBI,,變速箱濾網+墊片
01M 325 443,VW,,濾網墊片
01M 325 443 -,,,濾網墊片
01M 398 000,ACEOMATIC,,變速箱修理包-大
01M 398 001,VW,,變速箱修理包-小
01M 398 001 -,FEBI,,變速箱修理包-小
01M 398 005,PRECISION,,活塞皮碗組
01M 398 998,VW,,閥體修理包
01M 409 066,VW,,冷卻器螺絲
01M 409 117A,VW,,軸承套-左
01M 409 187,VW,,路碼錶齒輪-驅動
01M 409 253,VW,,軸承套-右
01M 409 285,VW,,接頭座-內半軸
01M 409 285A,VW,,接頭座-內半軸
01M 409 285F,VW,,接頭座-內半軸
01M 409 285G,VW,,接頭座-內半軸
01M 927 321,VW,,速度感知器-變速箱
01M 927 321 -,FEBI,,速度感知器-變速箱
01M 927 321 /,FACET,,速度感知器-變速箱
01M 927 321B,VW,,速度感知器-變速箱
01M 927 321B -,FEBI,,速度感知器-變速箱
01M 927 365,VW,,線路板-電磁閥體
01M 927 733B,VW,,變速箱電腦
01M 927 733BF,VW,,變速箱電腦
01M 927 733BH,VW,,變速箱電腦
01M 927 733CJ,VW,,變速箱電腦
01M 927 733EK,VW,,變速箱電腦
01M 927 733EM,VW,,變速箱電腦
01M 927 733EP,SEAT,,變速箱電腦
01M 927 733ET,VW,,變速箱電腦
01M 927 733FD,VW,,變速箱電腦
01M 927 733FE,VW,,變速箱電腦
01M 927 733FJ,VW,,變速箱電腦
01M 927 733GG,VW,,變速箱電腦
01M 927 733GH,VW,,變速箱電腦
01M 927 733GJ,VW,,變速箱電腦
01M 927 733GK,VW,,變速箱電腦
01M 927 733GL,VW,,變速箱電腦
01M 927 733HF,VW,,變速箱電腦
01M 927 733HJ,VW,,變速箱電腦
01M 927 733HN,VW,,變速箱電腦
01M 927 733KE,VW,,變速箱電腦
01M 927 733LK,VW,,變速箱電腦
01M 927 733LL,VW,,變速箱電腦
01M 927 733LQ,VW,,變速箱電腦
01M 927 733T,VW,,變速箱電腦
01M K3,,,離合器片-K3
01M-001,,,閥體柱塞修包
01N 300 036,VW,,變速箱總成
01N 300 036X,VW-X,,變速箱總成
01N 321 359,VW,,油底殼-變速箱
01N 321 359 /,TOPRAN,,油底殼-變速箱
01N 321 370,VW,,油底殼墊片-變速箱
01N 321 370 *,TAIWAN,,油底殼墊片-變速箱
01N 321 370 -,FEBI,,油底殼墊片-變速箱
01N 321 371 *,TAIWAN,,油底殼墊片-變速箱
01N 323 571,VW,,扭力變換器
01N 398 001,VW,,變速箱修理包-小
01N 927 733AP,VW,,變速箱電腦
01N 927 733AR,VW,,變速箱電腦
01N 927 733BA,VW,,變速箱電腦
01N 927 733CF,VW,,變速箱電腦
01N 927 733DD,VW,,變速箱電腦
01N 927 733DH,VW,,變速箱電腦
01N 927 733DL,VW,,變速箱電腦
01N 927 733ED,VW,,變速箱電腦
01N 927 733FB,VW,,變速箱電腦
01P 321 359,VW,,油底殼-變速箱
01P 321 488,VW,,墊片-側外蓋
